Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
Lenovo,ThinkSystem ST550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,40,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190528-14852.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,295,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190819-16825.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,295,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18142.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,295,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191014-19135.html,,,,,,,,,,,
Dell,PowerEdge R740xd,Ubuntu 18.04.2 LTS,4.15.0-65-generic,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,3206R,85,8,1.9,2,16,16,53.4,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200203-20794.html,,,,,,,,,,,
Supermicro,SuperServer 2029TP-HC1R,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,5218R,125,20,2.9,2,40,80,204,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-21015.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,40.1,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17721.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,40.1,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13605.html,,,,,,,,,,,
Huawei,2288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,40.1,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190426-12402.html,,,,,,,,,,,
Huawei,1288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,40.1,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12484.html,,,,,,,,,,,
